subject,body,label
re : your visit with vince kaminski - enron corp . research,"dear mr . fujita :
professor kaminski will be delighted to have dinner with you and your
colleague mr . yamada . i have put you on his calendar at 3 : 00 pm . with
dinner to follow in early evening .
please let me know if you would like me to make dinner reservations
for you .
sincerely ,
shirley crenshaw
administrative coordinator
enron corp . research group
713 / 853 - 5290
masayuki fujita on 04 / 04 / 2000 11 : 07 : 19 am
to : shirley crenshaw
cc :
subject : re : your visit with vince kaminski - enron corp . research
shirley crenshaw
administrative coordinator
research group
enron corp
dear ms . crenshaw ,
i am very glad to see professor kaminski let me meet with him . i offer to
visit you around 3 p . m . on 17 th monday . i wonder if we can invite him for a
dinner that night because my colleague mr . yamada who also wishes to meet
with him will attend a risk publication ' s seminar up to 5 p . m . on that day .
please let professor kaminski know we understand this offer may affect on
his private time and we do not insist on it . i am very much looking forward
to seeing him .
best regards ,
masayuki fujita
principal financial engineer
financial technologies section
mitsubishi research institute , inc .
3 - 6 otemachi 2 - chome , chiyoda - ku
tokyo 100 - 8141
japan
tel + 81 - 3 - 3277 - 0582
fax + 81 - 3 - 3277 - 0521",0
business cards / amex cards for new ubs warburg energy llc employees,"hello louise , dave , david ,
is there any reason why we should not get started with the process of
getting business cards and amex cards for all folks that have signed
up to join the new entity ?
mark
visit our website at http : / / www . ubswarburg . com
this message contains confidential information and is intended only
for the individual named . if you are not the named addressee you
should not disseminate , distribute or copy this e - mail . please
notify the sender immediately by e - mail if you have received this
e - mail by mistake and delete this e - mail from your system .
e - mail transmission cannot be guaranteed to be secure or error - free
as information could be intercepted , corrupted , lost , destroyed ,
arrive late or incomplete , or contain viruses . the sender therefore
does not accept liability for any errors or omissions in the contents
of this message which arise as a result of e - mail transmission . if
verification is required please request a hard - copy version . this
message is provided for informational purposes and should not be
construed as a solicitation or offer to buy or sell any securities or
related financial instruments .",0
information sur la promo du vendredi saint,"visitez notre nouveau site web en cliquant sur la banniere ! !
journe liquidation le vendredi 25 mars 2005 ( vendredi saint )
chacun d entre vous se mritera 10 x cd - r 80 min avec pochette
si vous franchissez la porte du magasin le 25 mars 2005
1 er = 500 $ cash
2 ieme = 300 $ cash
3 iem = 200 $ cash
( exemple : si un couple entre ensemble premier et deuxieme ils recevront 800 $ cash + 20 cds - r )
ouverture des portes a 10 ho 0 am
liquidation annuelle de 10 % a 50 % de rabais
liste disponible le 23 mars 10 am
www . . com / promo . pdf
* * * concours du mois ( 350 $ en bon d achat ) * * *
http : / / www . . com
merci de nous visiter
",1
"32 , 000 mmbtu nom remains in place ; 7 , 000 mmbtu from fuels cotton","valley , 25 , 000 mmbtu into valeroi
no nom change on purchase and sale - eastrans for 2 / 10 / 2000 - ( see reference ) .
reduce sale to 500 mmbtu / d from fuels cotton valley for 2 / 10 / 2000 .",0
re : wednesday,"vince , thanks for letting me know . i will see you on wednesday .
regards ,
giuseppe
on mon , 12 mar 2001 vince . j . kaminski @ enron . com wrote :
> giuseppe
>
> the dinner is scheduled , as i have mentioned , to you at 7 : 00 p . m .
> wednesday at il fornaio , canaletto room .
>
> both you and eric are welcome to join us .
>
> vince
>
>
giuseppe a paleologo
: : gappy @ stanford . edu : :
: : http : / / www . gappy . org : :",0
"we are the only online pharmacy offering "" 100 % satisfaction guarantee "" .","affordable - the way medications should be
to be great is to be misunderstood .
success is never final .
the truth is easiest to disprove - its defenses are down .
the basic notion underlying usenet is the flame .",1
are you infected with spyware ?,"is your computer secure ?
an aol study in october 2004 showed :
67 % have no current anti - virus software
20 % are infected with viruses
80 % are infected with spyware
49 % have no firewall protection
is this you ?
go here to protect yourself now
% random _ wordquadrennial
remove me please
if you would like to be removed from our mailing lists please
click here .
% random _ word dissonant
",1
pictures,"molehill snails meredith
quichua exist stones puritanizes
exert safest directed
ruggedly exalts hushed transcendent
spinners totals specifier
marshmallow merest faking
schemas memorable avignon poser
cargill latches realms
tantalizing avow revokes neighborhoods guile
- -
phone : 963 - 453 - 7310
mobile : 766 - 140 - 1377
email : diannehamilton @ norikomail . com
",1
"fw : ees / ena government affairs staffing enron americas : $ 6 . 8 million ; and global assets picking up $ 500 , 000 . let ' s talk monday .","- - - - - original message - - - - -
from : steffes , james d .
sent : friday , november 16 , 2001 6 : 08 pm
to : shapiro , richard
subject : ees / ena government affairs staffing & outside services
rick - -
here is the information on staffing and outside services . call if you need anything else .
jim",0
re : associates prc meeting - to be rescheduled,"hi , sally ,
thanks for your email . attached please find my resume . i just rotated out of
ctg of ena and joined risk management of ebs for my third rotation . i ' d like
to meet and talk briefly with you . let me know your convenient time . thank
you .
jun
sally beck @ ect
07 / 19 / 00 12 : 41 pm
to : jennifer bratton / enron communications @ enron communications , yvan
chaxel / corp / enron @ enron , justin chola / corp / enron @ enron , shelly
friesenhahn / enron communications @ enron communications , cheryl
ingstad / enron _ development @ enron _ development , nicole la / hou / ect @ ect , erwin
landivar / sa / enron @ enron , nicole palczer / enron communications @ enron
communications , inderpal singh / enron _ development @ enron _ development , glenn
surowiec / enron _ development @ enron _ development , miguel vasquez / hou / ect @ ect , jun
wang / enron communications @ enron communications , laura wente / hou / ect @ ect ,
grant zimmerman / enron communications @ enron communications
cc :
subject : associates prc meeting - to be rescheduled
today ' s associates prc meeting that was to begin at 1 : 30 has been cancelled
and will be rescheduled for a date yet to be determined . both the morning
analyst prc meeting and the associates prc meeting were scheduled for the
same location and with joe sutton as chair . the analysts prc meeting is
apparently running very long , so someone from the program office called to
cancel the associates prc meeting for this afternoon . i will let you know as
soon as i know a rescheduled date .
in preparation for today ' s prc meeting , i was able to meet in person with
most of your supervisors to get input on your job responsiblities ,
accomplishments and performance . for those that were unavailable for a
meeting , we managed a phone call or at least a series of voice mails to
accomplish the same thing . i also have any materials that you may have
provided to your supervisor for the mid - year review process , as well as
copies of the internal feedback that was gathered through the pep system .
with this delay in the meeting date , i have the time to ask for a copy of
your resume . the prc process clearly focuses on your performance
specifically from january through june 2000 . however , it would be helpful to
me in representing you to at least be familiar with your backgrounds . please
e : mail a copy to me or you can send a hard copy to eb 3015 . a couple of you
have come by my office to meet with me . i would also be happy to put a name
and face together for others of you or to talk by phone if you are not in
houston . my extension is 35926 .",0
learn to save on medications at discount pharmacy,"hello ,
save your health your money
get all the medication you need at incredible 80 % discounts .
http : / / werwer 4723 . com / ? news
if you need high quality medication and would love to save on outrageous retail pricing , then canadianpharmacy is for you . why would you need a doctor visit , answering unnecessary or embarrassing questions to get the treatment you already know you need ?
choose it yourself and save big on doctor visits and retail prices , in just 2 simple steps !
[ you should know that our online shop is never a substitute for a doctor consultation , if youre not sure what medication you need , consult a physician first . ]
but if you already know what you need , why pay more ? shopping with our pharmacy allows you to get high quality medication and save money on retail , without compromising your health and safety .
what condition are you seeking treatment for ?
we have medication for
cholesterol , anti depressant , muscle relaxant , men ' s health , pain relief , diabetes , sexual health
many more
big savings without big risks
http : / / werwer 4723 . com / ? news
regards
jesse summers
http : / / werwer 4723 . com / ? news
not interested ?
",1
draft press release : enron to provide data to ngx,"as part of the settlement of enron canada ' s lawsuit against ngx , they ( ngx ) are required to issue a press release . the draft of the release is attached . it is expected to be released at the end of the day on monday , april 30 or tuesday , may 1 .
please send any comments to me at your earliest convenience . if you have any questions , call me at ext . 3 - 9053 . thanks .
eric",0
re :,"lloyd ,
yes , this would be very useful . i was told that we should not do any official
business with
mg until july 15 . i don ' t want to violate those rules of engagement and go
beyond casual contacts .
after the 15 th all the stops are off .
vince
from : lloyd fleming 07 / 07 / 2000 01 : 51 am
to : vince j kaminski / hou / ect @ ect
cc :
subject : re :
no problem - i do think this could wait until mg are more closely integrated
in any case . a useful first step might be an email to relevant trading
staff at mg outlining briefly what maureen does and how she can provide a
service to them . would you like me to send her a list of potential people to
email ?
regards
lloyd
vince j kaminski
06 / 07 / 2000 23 : 39
to : lloyd fleming / lon / ect @ ect
cc : vince j kaminski / hou / ect @ ect , maureen raymond / hou / ect @ ect
subject : re :
lloyd ,
i think that we can arrange a few video conference meetings instead .
i don ' t see a justification for extending the stay over the weekend if we
have an alternative solution .
vince
enron capital & trade resources corp . - europe
from : lloyd fleming 07 / 06 / 2000 12 : 37 pm
to : vince j kaminski / hou / ect @ ect
cc : maureen raymond / hou / ect @ ect
subject :
vince
i met maureen yesterday and had a useful discussion on her role within
enron . i think it would be very helpful to promote the research group
function of the company , particularly given maureen ' s background , if she
could be introduced to some of the main traders down at mg . unfortunately
she won ' t have time to meet with mg unless we can schedule some meetings on
monday .
would you be happy for her to extend her stay here till monday to allow the
meetings to take place ?
regards",0
ut info session,"the attached event form is the agenda for the ut trip . if you need to make
any changes for the hotel check - in / out date please let me know as soon as
possible .
thank you for your assistance and dedication to the program .
jackie coleman
recruiting coordinator",0
re : var for credit trading,"ted
thanks for the note - coming from jpmorgan i understand the importance of var
as a key control measure and i appreciate that we may all need to do further
work to ' institutionalise ' a var culture in enron . however , in this instance ,
i believe the initial comment has been taken out of context .
i believe there is a general communication issue here . since inception the
business has been monitoring risk via the use of a cumulative sensitivity
measure for the portfolio - expressed and reported as dvolon the daily dpr .
however , no - one in rac / commercial / commercial support appears to have formally
equated that sensitivity to the business var limit during the longer than
expected delay to the completion of a signed off var model . ( informally this
is being done )
i would have expected the business to utilise a crude ( and possibly
necessarily overstated ) scaling factor based on the volatility of credit
spread movements in the market and for rac to have signed off this scaling
factor . bryan seyfield and david wall will propose this immediately .
finally , i believe both commercial and commercial support for credit trading
are reprioritising the work being completed for the model for var reporting
- we should communicate the new delivery date as soon as possible .
i look forward to discussing this and other rac / commercial support interface
issues with you next week
regards
mike
from : ted murphy
26 / 06 / 2000 14 : 50
to : sally beck / hou / ect @ ect , mike jordan / lon / ect @ ect , fernley
dyson / lon / ect @ ect , bryan seyfried
cc : rick buy , richard causey / corp / enron @ enron
subject : re : var for credit trading
please see the attached comment at the bottom of this string of e - mails .
the privilege of using enron ' s balance sheet comes with the responsibility to
adequately report the risk in the form that has been agreed to .
it is appalling to me that we are currently incapable of calculating var in a
product that has been approved for trading for several months . it is equally
appalling that the support staff continues to be so unaware of the importance
of this that the comments below could even be considered reasonable .
obviously , the individual who made the comment is hardly responsible . it
lies with both commercial and commercial support management . i know that
airing this out in such a broad way appears to be harsh . this is not the
point . this is not an isolated problem . it is not just pertaining to
europe . please do not feel singled out . but the scrutiny and pressure on var
as a measure of risk continues to grow at fast pace . we can hardly make any
progress if this is the pervasive attitude . let ' s knock this stuff out one
at a time .
ted
oliver gaylard
06 / 26 / 2000 08 : 34 am
to : david port / market risk / corp / enron @ enron
cc : chris abel / hou / ect @ ect , michael e moscoso / hou / ect @ ect , david a wall / risk
mgmt / lon / ect @ ect , ted murphy / hou / ect @ ect
subject : re : var for credit trading
the var engine for credit trading is being built by research in london and it
is intended that var be run daily as soon as they have produced / signed off on
this .
oliver
from : david port @ enron
26 / 06 / 2000 14 : 24
to : chris abel / hou / ect @ ect
cc : michael e moscoso / hou / ect @ ect , david a wall / risk mgmt / lon / ect @ ect , oliver
gaylard / lon / ect @ ect , ted murphy / hou / ect @ ect
subject : re : var for credit trading
my view : prove its insignificant by calculating it every day , that ' s why the
board approved the limit .
dp
chris abel @ ect
06 / 23 / 2000 07 : 41 am
to : david port / market risk / corp / enron @ enron
cc : michael e moscoso / hou / ect @ ect
subject : var for credit trading
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by chris abel / hou / ect on 06 / 23 / 2000 07 : 38 am
- - - - - - - - - - - - - - - - - - - - - - - - - - -
mary thambiah
06 / 23 / 2000 03 : 29 am
to : chris abel / hou / ect @ ect
cc : david a wall / risk mgmt / lon / ect @ ect
subject : var for credit trading
hi chris
i talked with david yesterday and we don ' t think the risk is significant
enough to start calculating a var number . however if you have any queries
feel free to give him a call .
rgds
mary",0
transwestern capacity release report for february 2002 reservation,"invoices
attached is the file to be used for demand invoice verification for january 2002 capacity release transactions . if you have any questions , please feel free to contact me .
fyi - based on the flash invoices i generated last night for the capacity release transactions and global settlement contracts , please note the following :
ena k # 24924 res - manual rate adjustment is needed for the 50 / 50 split of marketing fees for capacity released to burlington
conoco k # 20748 res - delete the thoreau to e . thoreau line item
conoco k # 20835 comm - delete authorized overrun line items and roll volumes up to the commodity charge type
texaco k # 25923 / 25924 comm - when verifying fuel rate of 4 . 5 % between the lateral and mainline contract sched volumes , there is a ldifference that could not be attributed to rounding . need to verify if difference is caused by makeup volumes ; and if delivery makeup scheduled , then invoice should be adjusted accordingly .
please remember that the notes above are based on data as of 2 / 26 / 02 . i will review again on the lst .
schedulers - please provide a final copy of the delivery tolerance report to both me and marketing so it can be determined if makeup will affect the rate to be charged [ some contracts are based on calculations , especially when charging incremental fees for alternate point usage ] .
thanks ,
elizabeth
x 3 - 6928",0
cialis - the next to the guiness ' book ? ! . .,"your reliable source for prescription drugs without prescription
it is what you learn after you know it all that counts .
arrogant and right is surely better than humble and wrong .
ah , music . a magic beyond all we do here !",1
re : a friend of mine,"vince ,
thank you very much for the follow up report . i am sure richard will be very enthusiastic about the opportunity to speak with you and your team . i appreciate your help , and please feel free to contact me if you or shirley need assistance with logistics .
again , thank you and i look forward to working with you again this recruiting season .
regards ,
kristin
- - - - - original message - - - - -
from : kaminski , vince
sent : wednesday , may 02 , 2001 8 : 27 am
to : gandy , kristin
subject : re : a friend of mine
kristin ,
thanks a lot for the resume .
we shall arrange a phone interview with richard . this is out standard procedure .
a phone interview is followed by the on - site interview , after we determine what is the best team to interview
the candidate .
vince
from : kristin gandy / enron @ enronxgate on 05 / 01 / 2001 05 : 14 pm
to : vince j kaminski / hou / ect @ ect
cc :
subject : a friend of mine
vince ,
last week i was contacted by one of my friends who is very interested in becoming an enron employee . he has a phd and several years research and lab experience .
richard is afraid that being a phd is a dying breed and may need to go back to school to obtain an mba . i was wondering if you would mind looking at the attached resume to assess if you have any interest in richard , or if you feel i should encourage him to go back to school . i am unclear as to the qualifications for your group so i apologize if this request is way off base .
thank you for your help ,
kristin gandy
associate recruiter
enron corporation
1400 smith street eb 1163
houston , texas 77002
713 - 345 - 3214
kristin . gandy @ enron . com
>",0
nesa / hea events - may & june 2001,"greetings nesa / hea members !
attached below for your review are flyers for upcoming nesa / hea sponsored
events .
offshore energy museum tour may 17 , 2001 in galveston , texas
fundamentals of electricity technical training june 5 & 6 in houston , texas
second annual nesa / hea calgary conference june 7 & 8 in calgary , alberta ,
canada .
basics of risk management technical training june 7 & 8 in houston , texas
ziff energy group gas storage conference june 22 in houston , texas
please take a moment to review the attached flyers and make plans to attend
these events today . contact tracy cummins at ( 713 ) 856 - 6525 or via email at
tracy . cummins @ nesanet . org with any
questions .
> > >
> >
to unsubscribe from the nesa / hea member email blast list please respond to
this email with the word unsubscribe typed into the subject field . this
will preclude you from receiving any email blasts in the future , but hard
copies of the material will be sent to your attention .
- flyer 2001 . doc
- oecol . doc
- fund _ electricity _ pdf . pdf
- risk _ management _ pdf . pdf
- email broadcast # 3 . doc",0
= ? utf - 8 ? q ? let banking concern ? =,"= ? utf - 8 ? q ? compete for your mo ? =
= ? utf - 8 ? q ? rtgage ? =
programs for all borrow state of affairs
lenders reply in 26 hours
borrow more then 125 % of your habitations appraise
specific proposals for self - employed
no revenue verification propositions
acquire more information
",1
mark frevert ' s presentation,"this is good info for frevert ' s presentation .
- - - - - - - - - - - - - - - - - - - - - - forwarded by kevin m presto / hou / ect on 03 / 05 / 2001 03 : 13 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
george hopley
03 / 05 / 2001 01 : 19 pm
to : kevin m presto / hou / ect @ ect
cc :
subject : mark frevert ' s presentation
please see attached some excerpted comments from wefa about the outlook on
new capacity .
let me know if you want more of the same to address the listed questions .
george",0
re : fyi,"this is our closing attempt
we have tried to make contact with you on many openings and now is the time to respond !
your exisiting home loan meets the requirements for you for up to a 3 . 90 % lower rate .
however , thanks to our previous attempts to make contact with
you were unsuccessful , this will be our last effort to gain for you the lower rate .
please conclude this final step upon receiving
this notice immediately , and complete your claim now .
submission here .
if your decision is not to make use of this final offer going here will help you to do so .",1
important announcement : your application was approved,"we tried to contact you last week about refinancing your home at a lower rate .
i would like to inform you know that you have been pre - approved .
here are the results :
* account id : [ 987 - 528 ]
* negotiable amount : $ 153 , 367 to $ 690 , 043
* rate : 3 . 70 % - 5 . 68 %
please fill out this quick form and we will have a broker contact you as soon as possible .
regards ,
shannon serrano
senior account manager
lyell national lenders , llc .
database deletion :
www . lend - bloxz . com / r . php
",1
re : stanford mba - interview,"hi vince ,
unfortunately , i have not heard from him . he also forwarded his resume to mauricio mora , who asked if we could interview him . when i asked celeste about it back then she decided against it . if you need some help tracking him down , let me know .
thanks ,
althea
vince j kaminski @ ect
04 / 16 / 2001 01 : 53 pm
to : althea gordon / na / enron @ enron
cc : vince j kaminski / hou / ect @ ect
subject : stanford mba - interview
althea ,
i was trying to get in touch with this guy .
did he contact you by any chance ? he missed
the interviews on the campus .
vince
- - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 04 / 16 / 2001 01 : 51 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" seade , juan j . "" on 03 / 19 / 2001 01 : 15 : 56 am
to : "" ' vkamins @ enron . com ' ""
cc :
subject : stanford mba - interview
dear vincent ,
as i told you on the phone on friday , i am very interested in a summer
internship at enron . i would like to point out that i want to pursue a
career in trading , and i am especially interested in derivatives . given that
enron is a pioneer in the market making of energy , broadband and weather
derivatives , i find it a company i would be most interested in working for .
i believe that you will find my background of interest to your firm , and i
hope to be interviewed by yourself and other colleagues of yours . i have
final exams from march 19 - 22 , but would be most willing to travel to houston
for interviews any time from friday march 23 rd onwards . i hope to hear from
you soon .
best regards ,
juan seade
mba class of 2002
stanford business school
796 escondido road apt . 29 c
stanford , ca 94305
tel : ( 650 ) 497 - 3705
email : jseade @ stanford . edu
>
- resume juan seade . doc",0
compare our low priices on popular m [ e ] ds !,"eightieth ribonucleic swanlike fingernail airfoil shalom finessed project hawaii normal standoff conclusive hexagonal telltale slivery sear symposium sarsparilla three seethe spoof defuse envy rhapsodic schoolmarm chinaman birmingham downdraft alveoli spite cantaloupe precinct triad compleat bodice watermelon chariot next caliper method ilyushin nicholson housefly southward blackball embodiment derriere newsman dunk emotional natchez mine locus aft accolade gabbro escherichia wrathful rove corn edible bolshevist deterring druid annulus
",1
